Player,From,To,Pos,Ht,Wt,Birth Date,College
Josh Akognon\akognjo01,2013,2013,G,180,185,February 10 1986,California State University Fullerton
Solomon Alabi\alabiso01,2011,2012,C,215,251,March 21 1988,Florida State University
Mark Alarie\alarima01,1987,1991,F,203,217,December 11 1963,Duke University
Gary Alcorn\alcorga01,1960,1961,C,205,225,October 8 1936,California State University Fresno
Furkan Aldemir\aldemfu01,2015,2015,F-C,208,240,August 9 1991,
Cole Aldrich\aldrico01,2011,2017,C,210,250,October 31 1988,University of Kansas
LaMarcus Aldridge\aldrila01,2007,2017,F-C,210,260,July 19 1985,University of Texas at Austin
Chuck Aleksinas\aleksch01,1985,1985,C,210,260,February 26 1959,University of Connecticut
Cliff Alexander\alexacl01,2016,2016,F,203,245,November 16 1995,University of Kansas
Cory Alexander\alexaco01,1996,2005,G,185,185,June 22 1973,University of Virginia
Courtney Alexander\alexaco02,2001,2003,G,195,205,April 27 1977,California State University Fresno
Gary Alexander\alexaga01,1994,1994,F,200,240,November 1 1969,University of South Florida
Joe Alexander\alexajo01,2009,2010,F,203,230,December 26 1986,West Virginia University
Victor Alexander\alexavi01,1992,2002,C-F,205,265,August 31 1969,Iowa State University
Steve Alford\alforst01,1988,1991,G,187,183,November 23 1964,Indiana University
Bill Allen\allenbi01,1968,1968,C-F,203,205,,New Mexico State University
Bob Allen\allenbo01,1969,1969,F,205,205,July 17 1946,Marshall University
Jerome Allen\allenje01,1996,1997,G,193,184,January 28 1973,University of Pennsylvania
Lavoy Allen\allenla01,2012,2017,F-C,205,260,February 4 1989,Temple University
Lucius Allen\allenlu01,1970,1979,G,187,175,September 26 1947,University of California Los Angeles
Malik Allen\allenma01,2002,2011,F-C,208,255,June 27 1978,Villanova University
Randy Allen\allenra01,1989,1990,F,203,220,January 26 1965,Florida State University
Ray Allen\allenra02,1997,2014,G,195,205,July 20 1975,University of Connecticut
Tony Allen\allento01,2005,2017,G-F,193,213,January 11 1982,Oklahoma State University
Willie Allen\allenwi01,1972,1972,F,198,230,February 8 1949,University of Miami
Odis Allison\allisod01,1972,1972,F,198,195,October 2 1949,University of Nevada Las Vegas
Lance Allred\allrela01,2008,2008,C,210,250,February 2 1981,Weber State University
Darrell Allums\allumda01,1981,1981,F,205,220,September 12 1958,University of California Los Angeles
Morris Almond\almonmo01,2008,2012,G,198,225,February 2 1985,Rice University
Derrick Alston\alstode01,1995,1997,F,210,225,August 20 1972,Duquesne University
Rafer Alston\alstora01,2000,2010,G,187,171,July 24 1976,California State University Fresno
Peter Aluma\alumape01,1999,1999,C,208,260,April 23 1973,Liberty University
John Amaechi\amaecjo01,1996,2003,C-F,208,270,November 26 1970,Pennsylvania State University
Ashraf Amaya\amayaas01,1996,1997,F,203,230,November 23 1971,Southern Illinois University
Al-Farouq Aminu\aminual01,2011,2017,F,205,220,September 21 1990,Wake Forest University
Lou Amundson\amundlo01,2007,2016,F,205,220,December 7 1982,University of Nevada Las Vegas
Bob Anderegg\anderbo01,1960,1960,F-G,190,200,August 24 1937,Michigan State University
Chris Andersen\anderch01,2002,2017,F-C,208,245,July 7 1978,Blinn College
David Andersen\anderda03,2010,2011,C,210,245,June 23 1980,
Alan Anderson\anderal01,2006,2017,G-F,198,220,October 16 1982,Michigan State University
Andrew Anderson\anderan01,1968,1970,G,187,184,July 6 1945,Canisius College
Antonio Anderson\anderan02,2010,2010,G,198,215,June 5 1985,University of Memphis
Cliff Anderson\andercl01,1968,1971,G-F,187,200,September 7 1944,Saint Joseph's University
Dan Anderson\anderda01,1968,1969,C,208,230,February 15 1943,Augsburg College
Dan Anderson\anderda02,1975,1976,G,187,185,January 1 1951,University of Southern California
Derek Anderson\anderde01,1998,2008,G,195,194,July 18 1974,University of Kentucky
Dwight Anderson\anderdw01,1983,1983,G,190,185,December 28 1960,University of Southern California
Eric Anderson\anderer01,1993,1994,F,205,220,May 26 1970,Indiana University
Greg Anderson\andergr01,1988,1998,F-C,208,230,June 22 1964,University of Houston
J.J. Anderson\anderjj01,1983,1985,F,203,195,September 23 1960,Bradley University
James Anderson\anderja01,2011,2016,G-F,198,213,March 25 1989,Oklahoma State University
Jerome Anderson\anderje01,1976,1977,G,195,195,October 9 1953,West Virginia University
Justin Anderson\anderju01,2016,2017,G,198,228,November 19 1993,University of Virginia
Kenny Anderson\anderke01,1992,2005,G,182,168,October 9 1970,Georgia Institute of Technology
Kim Anderson\anderki01,1979,1979,F,200,200,May 12 1955,University of Missouri
Kyle Anderson\anderky01,2015,2017,F-G,205,230,September 20 1993,University of California Los Angeles
Michael Anderson\andermi01,1989,1989,G,180,184,March 23 1966,Drexel University
Nick Anderson\anderni01,1990,2002,F-G,198,205,January 20 1968,University of Illinois at Urbana-Champaign
Richard Anderson\anderri01,1983,1990,F-C,208,240,November 19 1960,University of California Santa Barbara
Ron Anderson\anderro01,1985,1994,F-G,200,215,October 15 1958,California State University Fresno
Ryan Anderson\anderry01,2009,2017,F,208,240,May 6 1988,University of California
Shandon Anderson\andersh01,1997,2006,F-G,198,208,December 31 1973,University of Georgia
Willie Anderson\anderwi01,1989,1997,G-F,200,190,January 8 1967,University of Georgia
Wally Anderzunas\anderwa01,1970,1970,C-F,200,220,January 11 1946,Creighton University
Martynas Andriuskevicius\andrima01,2006,2006,C,218,240,March 12 1986,
Don Anielak\anieldo01,1955,1955,F,200,190,November 1 1930,Missouri State University
Michael Ansley\anslemi01,1990,1992,F,200,225,February 8 1967,University of Alabama
Chris Anstey\anstech01,1998,2000,C,213,249,January 1 1975,
Giannis Antetokounmpo\antetgi01,2014,2017,F-G,210,222,December 6 1994,
Thanasis Antetokounmpo\antetth01,2016,2016,F,200,205,July 17 1992,
Carmelo Anthony\anthoca01,2004,2017,F,203,240,May 29 1984,Syracuse University
Greg Anthony\anthogr01,1992,2002,G,182,176,November 15 1967,University of Nevada Las Vegas
Joel Anthony\anthojo01,2008,2017,C,205,245,August 9 1982,University of Nevada Las Vegas
Pero Antic\anticpe01,2014,2015,C-F,210,260,July 29 1982,
Keith Appling\applike01,2016,2016,G,185,185,February 13 1992,Michigan State University
Rafael Araujo\araujra01,2005,2007,C,210,280,August 12 1980,Brigham Young University
Stacey Arceneaux\arcenst01,1962,1962,F,193,210,February 17 1936,Iowa State University
Robert Archibald\archiro01,2003,2004,F,210,250,March 29 1980,University of Illinois at Urbana-Champaign
Tiny Archibald*\architi01,1971,1984,G,185,150,September 2 1948,University of Texas at El Paso
Jim Ard\ardji01,1971,1978,F-C,203,215,September 19 1948,University of Cincinnati
Gilbert Arenas\arenagi01,2002,2012,G,190,191,January 6 1982,University of Arizona
Trevor Ariza\arizatr01,2005,2017,F,203,215,June 30 1985,University of California Los Angeles
Paul Arizin*\arizipa01,1951,1962,F-G,193,190,April 9 1928,Villanova University
Joe Arlauckas\arlaujo01,1988,1988,F,205,230,July 20 1965,Niagara University
B.J. Armstrong\armstbj01,1990,2000,G,187,175,September 9 1967,University of Iowa
Bob Armstrong\armstbo01,1957,1957,C-F,203,220,June 17 1933,Michigan State University
Brandon Armstrong\armstbr01,2002,2004,G,195,188,June 16 1980,Pepperdine University
Curly Armstrong\armstcu01,1949,1951,G-F,180,170,November 1 1918,Indiana University
Darrell Armstrong\armstda01,1995,2008,G,182,170,June 22 1968,Fayetteville State University
Hilton Armstrong\armsthi01,2007,2014,F-C,210,235,November 11 1984,University of Connecticut
Tate Armstrong\armstta01,1978,1979,G,190,175,October 5 1955,Duke University
Jesse Arnelle\arnelje01,1956,1956,F,195,220,December 30 1933,Pennsylvania State University
Jay Arnette\arnetja01,1964,1966,G,187,175,December 19 1938,University of Texas at Austin
Bob Arnzen\arnzebo01,1970,1974,F,195,205,November 3 1947,University of Notre Dame
Carlos Arroyo\arroyca01,2002,2011,G,187,202,July 30 1979,Florida International University
Darrell Arthur\arthuda01,2009,2017,F,205,235,March 25 1988,University of Kansas
John Arthurs\arthujo01,1970,1970,G,193,185,August 15 1947,Tulane University
Omer Asik\asikom01,2011,2017,C,213,255,July 4 1986,
Vincent Askew\askewvi01,1988,1998,G-F,198,210,February 28 1966,University of Memphis
Keith Askins\askinke01,1991,1999,G-F,200,197,December 15 1967,University of Alabama
Don Asmonga\asmondo01,1954,1954,G,187,185,February 15 1928,Alliance College
Dick Atha\athadi01,1956,1958,G,187,190,September 21 1931,Indiana State University
Chucky Atkins\atkinch01,2000,2010,G,180,160,August 14 1974,University of South Florida
Al Attles\attleal01,1961,1971,G,182,175,November 7 1936,North Carolina Agricultural and Technical State University
Chet Aubuchon\aubucch01,1947,1947,G,177,137,May 18 1916,Michigan State University
Stacey Augmon\augmost01,1992,2006,F-G,203,205,August 1 1968,University of Nevada Las Vegas
D.J. Augustin\augusdj01,2009,2017,G,182,183,November 10 1987,University of Texas at Austin
James Augustine\augusja01,2007,2008,F,208,235,February 27 1984,University of Illinois at Urbana-Champaign
Isaac Austin\austiis01,1992,2002,C,208,255,August 18 1969,Arizona State University
Johnny Austin\austijo01,1967,1968,G,182,170,August 31 1944,Boston College
Ken Austin\austike01,1984,1984,F,205,205,July 15 1961,Rice University
Anthony Avent\aventan01,1993,2000,F,205,235,October 18 1969,Seton Hall University
Bird Averitt\averibi01,1974,1978,G,185,170,July 22 1952,Pepperdine University
William Avery\averywi01,2000,2002,G,187,197,August 8 1979,Duke University
Dennis Awtrey\awtrede01,1971,1982,C,208,235,February 22 1948,Santa Clara University
Gustavo Ayon\ayongu01,2012,2014,C,208,250,April 1 1985,
Jeff Ayres\pendeje02,2010,2016,F,205,240,April 29 1987,Arizona State University
Kelenna Azubuike\azubuke01,2007,2012,G,195,220,December 16 1983,University of Kentucky
Chris Babb\babbch01,2014,2014,G,195,225,February 14 1990,Iowa State University
Luke Babbitt\babbilu01,2011,2017,F,205,225,June 20 1989,University of Nevada Reno
Milos Babic\babicmi01,1991,1992,C-F,213,240,November 23 1968,Tennessee Technological University
Johnny Bach\bachjo01,1949,1949,F-G,187,180,July 10 1924,Fordham University
Henry Bacon\baconhe01,1973,1973,G,190,205,July 5 1948,University of Louisville
Jim Baechtold\baechji01,1953,1957,F-G,193,205,December 9 1927,Eastern Kentucky University
Dalibor Bagaric\bagarda01,2001,2003,C,215,255,February 7 1980,
John Bagley\baglejo01,1983,1994,G,182,185,April 23 1960,Boston College
Carl Bailey\baileca01,1982,1982,C,213,210,April 23 1958,Tuskegee University
Gus Bailey\bailegu01,1975,1980,G-F,195,185,February 18 1951,University of Texas at El Paso
James Bailey\baileja01,1980,1988,F-C,205,220,May 21 1957,Rutgers University
Thurl Bailey\baileth01,1984,1999,F-C,210,215,April 7 1961,North Carolina State University
Toby Bailey\baileto01,1999,2000,G,198,213,November 19 1975,University of California Los Angeles
Cameron Bairstow\bairsca01,2015,2016,F-C,205,250,December 7 1990,University of New Mexico
Jimmie Baker\bakerji01,1976,1976,F,205,220,December 25 1953,University of Hawaii
LaMark Baker\bakerla01,1999,1999,G,185,175,November 11 1969,Ohio State University
Maurice Baker\bakerma01,2005,2005,G,185,175,July 28 1979,Oklahoma State University
Norm Baker\bakerno01,1947,1947,G,182,180,February 17 1923,
Ron Baker\bakerro01,2017,2017,G,193,220,March 30 1993,Wichita State University
Vin Baker\bakervi01,1994,2006,F,210,232,November 23 1971,University of Hartford
Wade Baldwin\baldwwa01,2017,2017,G,193,202,March 29 1996,Vanderbilt University
Renaldo Balkman\balkmre01,2007,2012,F,203,208,July 14 1984,University of South Carolina
Cedric Ball\ballce01,1991,1991,F,203,210,April 16 1968,University of North Carolina at Charlotte
Greg Ballard\ballagr01,1978,1989,F,200,215,January 29 1955,University of Oregon
Herschel Baltimore\baltihe01,1947,1947,F,193,195,June 21 1921,Pennsylvania State University
Gene Banks\banksge01,1982,1987,F-G,200,215,May 15 1959,Duke University
Marcus Banks\banksma01,2004,2011,G,187,200,November 19 1981,University of Nevada Las Vegas
Walker Banks\bankswa01,1971,1971,C,208,205,August 26 1947,Western Kentucky University
Ken Bannister\bannike01,1985,1991,F-C,205,235,April 1 1960,Saint Augustine's College
Mike Bantom\bantomi01,1974,1982,F-C,205,200,December 3 1951,Saint Joseph's University
John Barber\barbejo01,1957,1957,F,198,210,June 27 1927,California State University Los Angeles
Leandro Barbosa\barbole01,2004,2017,G,190,194,November 28 1982,
Steve Bardo\bardost01,1992,1996,G,195,190,April 5 1968,University of Illinois at Urbana-Champaign
J.J. Barea\bareajo01,2007,2017,G,182,185,June 26 1984,Northeastern University
Andrea Bargnani\bargnan01,2007,2016,F-C,213,245,October 26 1985,
Cliff Barker\barkecl01,1950,1952,G,187,185,January 15 1921,University of Kentucky
Tom Barker\barketo01,1977,1979,C-F,210,225,March 11 1955,University of Hawaii
Charles Barkley*\barklch01,1985,2000,F,198,252,February 20 1963,Auburn University
Erick Barkley\barkler01,2001,2002,G,185,177,February 21 1978,St. John's University
Don Barksdale*\barksdo01,1952,1955,F-C,198,200,March 31 1923,University of California Los Angeles
Harrison Barnes\barneha02,2013,2017,F,203,210,May 30 1992,University of North Carolina
Harry Barnes\barneha01,1969,1969,F,190,205,July 25 1945,Northeastern University
Jim Barnes\barneji01,1965,1971,C-F,203,210,April 13 1941,University of Texas at El Paso
Marvin Barnes\barnema01,1975,1980,F-C,203,210,July 27 1952,Providence College
Matt Barnes\barnema02,2004,2017,F,200,226,March 9 1980,University of California Los Angeles
Dick Barnett\barnedi01,1960,1974,G-F,193,190,October 2 1936,Tennessee State University
Jim Barnett\barneji02,1967,1977,G-F,193,170,July 7 1944,University of Oregon
Nathaniel Barnett\barnena01,1976,1976,G,190,175,January 29 1953,University of Akron
John Barnhill\barnhjo01,1963,1972,G,185,180,March 20 1938,Tennessee State University
Norton Barnhill\barnhno01,1977,1977,G,193,205,July 15 1953,Washington State University
Leo Barnhorst\barnhle01,1950,1954,F-G,193,190,May 11 1924,University of Notre Dame
John Barr\barrjo01,1947,1947,F,190,205,August 8 1918,Pennsylvania State University
Mike Barr\barrmi01,1973,1977,G,190,180,October 19 1950,Duquesne University
Moe Barr\barrmo01,1971,1971,G,193,195,June 19 1944,Duquesne University
Andre Barrett\barrean01,2005,2008,G,177,172,February 21 1982,Seton Hall University
Ernie Barrett\barreer01,1954,1956,G-F,190,180,August 27 1929,Kansas State University
Mike Barrett\barremi01,1970,1973,G,187,155,September 5 1943,West Virginia University Institute of Technology
Earl Barron\barroea01,2006,2015,C,213,250,August 14 1981,University of Memphis
Dana Barros\barroda01,1990,2004,G,180,163,April 13 1967,Boston College
Brent Barry\barrybr01,1996,2009,G,198,185,December 31 1971,Oregon State University
Drew Barry\barrydr01,1998,2000,G,195,191,February 17 1973,Georgia Institute of Technology
Jon Barry\barryjo01,1993,2006,G,193,195,July 25 1969,Georgia Institute of Technology
Rick Barry*\barryri01,1966,1980,F,200,205,March 28 1944,University of Miami
Ed Bartels\barteed01,1950,1951,F,195,195,October 8 1925,North Carolina State University
Vic Bartolome\bartovi01,1972,1972,C,213,230,September 29 1948,Oregon State University
Will Barton\bartowi01,2013,2017,G,198,175,January 6 1991,University of Memphis
Eddie Basden\basdeed01,2006,2006,G,195,215,February 15 1983,University of North Carolina at Charlotte
Jerry Baskerville\baskeje01,1976,1976,F,200,190,November 10 1951,Temple University
Brandon Bass\bassbr01,2006,2017,F,203,250,April 30 1985,Louisiana State University
Tim Bassett\basseti01,1974,1980,F-C,203,225,April 1 1951,University of Georgia
Maceo Baston\bastoma01,2003,2009,F,205,215,May 29 1975,University of Michigan
Mengke Bateer\bateeme01,2002,2004,C,210,290,November 20 1975,
Billy Ray Bates\batesbi01,1980,1983,G,193,210,May 31 1956,Kentucky State University
Esteban Batista\batises01,2006,2007,F-C,208,270,September 2 1983,
Mike Batiste\batismi01,2003,2003,F,203,225,November 21 1977,Arizona State University
Tony Battie\battito01,1998,2012,C-F,210,230,February 11 1976,Texas Tech University
Shane Battier\battish01,2002,2014,F,203,220,September 9 1978,Duke University
John Battle\battljo01,1986,1995,G,187,175,November 9 1962,Rutgers University
Kenny Battle\battlke01,1990,1993,F,198,210,October 10 1964,University of Illinois at Urbana-Champaign
Dave Batton\battoda01,1983,1984,C,208,240,March 26 1956,University of Notre Dame
Lloyd Batts\battsll01,1975,1975,G-F,193,185,May 9 1951,University of Cincinnati
Nicolas Batum\batumni01,2009,2017,F-G,203,200,December 14 1988,
Johnny Baum\baumjo01,1970,1974,F,195,200,June 17 1946,Temple University
Frankie Baumholtz\baumhfr01,1947,1947,G,177,170,October 7 1918,Ohio University
Lonny Baxter\baxtelo01,2003,2006,F,203,260,January 27 1979,University of Maryland
Jerryd Bayless\bayleje01,2009,2017,G,190,200,August 20 1988,University of Arizona
Elgin Baylor*\bayloel01,1959,1972,F,195,225,September 16 1934,Seattle University
Howard Bayne\bayneho01,1968,1968,F,198,235,July 28 1942,University of Tennessee
Aron Baynes\baynear01,2013,2017,C,208,260,December 9 1986,Washington State University
Sergei Bazarevich\bazarse01,1995,1995,G,187,168,March 16 1965,
Kent Bazemore\bazemke01,2013,2017,G-F,195,201,July 1 1989,Old Dominion University
Ed Beach\beached01,1951,1951,F,190,200,January 25 1929,West Virginia University
Bradley Beal\bealbr01,2013,2017,G,195,207,June 28 1993,University of Florida
Al Beard\beardal01,1968,1968,C,205,200,April 27 1942,Norfolk State University
Butch Beard\beardbu01,1970,1979,G,190,185,May 4 1947,University of Louisville
Ralph Beard\beardra01,1950,1951,G,177,175,December 2 1927,University of Kentucky
Charles Beasley\beaslch01,1968,1971,G-F,195,190,September 23 1945,Southern Methodist University
Jerome Beasley\beaslje01,2004,2004,F,208,237,May 17 1980,University of North Dakota
John Beasley\beasljo01,1968,1974,F-C,205,225,February 5 1944,Texas A&M University
Malik Beasley\beaslma01,2017,2017,G,195,196,November 26 1996,Florida State University
Michael Beasley\beaslmi01,2009,2017,F,205,235,January 9 1989,Kansas State University
Zelmo Beaty*\beatyze01,1963,1975,C,205,225,October 25 1939,Prairie View A&M University
Rodrigue Beaubois\beaubro01,2010,2013,G,182,170,February 24 1988,
Byron Beck\beckby01,1968,1977,C-F,205,225,January 25 1945,University of Denver
Corey Beck\beckco01,1996,1999,G,185,190,May 27 1971,University of Arkansas
Ernie Beck\becker01,1954,1961,G-F,193,190,December 11 1931,University of Pennsylvania
Arthur Becker\beckear01,1968,1973,F,200,205,January 12 1942,Arizona State University
Moe Becker\beckemo01,1947,1947,G-F,185,185,February 24 1917,Duquesne University
Bob Bedell\bedelbo01,1968,1971,F,200,205,June 26 1944,Stanford University
William Bedford\bedfowi01,1987,1993,C,213,225,December 14 1963,University of Memphis
Hank Beenders\beendha01,1947,1949,C-F,198,185,June 2 1916,Long Island University
Ron Behagen\behagro01,1974,1980,F-C,205,185,January 14 1951,University of Minnesota
Elmer Behnke\behnkel01,1952,1952,C,200,210,February 3 1929,Bradley University
Marco Belinelli\belinma01,2008,2017,G-F,195,210,March 25 1986,
Charlie Bell\bellch01,2002,2011,G,190,200,March 12 1979,Michigan State University
Dennis Bell\bellde01,1974,1976,F,195,185,June 2 1951,Drake University
Raja Bell\bellra01,2001,2012,G,195,204,September 19 1976,Florida International University
Troy Bell\belltr01,2004,2004,G,185,180,November 10 1980,Boston College
Whitey Bell\bellwh01,1960,1961,G,182,180,September 13 1932,North Carolina State University
Walt Bellamy*\bellawa01,1962,1975,C,210,225,July 24 1939,Indiana University
DeAndre' Bembry\bembrde01,2017,2017,F,198,210,July 4 1994,Saint Joseph's University
Irv Bemoras\bemorir01,1954,1957,F-G,190,185,November 18 1930,University of Illinois at Urbana-Champaign
Leon Benbow\benbole01,1975,1976,G,193,185,July 23 1950,Jacksonville University
Dragan Bender\bendedr01,2017,2017,F,215,225,November 17 1997,
Jonathan Bender\bendejo01,2000,2010,F,210,202,January 30 1981,
Jerrelle Benimon\benimje01,2015,2015,F,203,245,August 1 1991,Towson University
Benoit Benjamin\benjabe01,1986,2000,C,213,250,November 22 1964,Creighton University
Corey Benjamin\benjaco01,1999,2003,G,198,200,February 24 1978,Oregon State University
Anthony Bennett\bennean01,2014,2017,F,203,245,March 14 1993,University of Nevada Las Vegas
Elmer Bennett\benneel01,1995,1997,G,182,170,February 13 1970,University of Notre Dame
Mario Bennett\bennema01,1996,2000,F,198,235,August 1 1973,Arizona State University
Mel Bennett\benneme01,1976,1982,F,200,200,January 4 1955,University of Pittsburgh
Spider Bennett\bennesp01,1969,1969,G,190,190,August 4 1943,Winston-Salem State University
Tony Bennett\benneto01,1993,1995,G,182,175,June 1 1969,University of Wisconsin-Green Bay
Winston Bennett\bennewi01,1990,1992,F,200,210,February 9 1965,University of Kentucky
David Benoit\benoida01,1992,2001,F,203,220,May 9 1968,University of Alabama
Keith Benson\bensoke02,2012,2012,C,210,240,August 13 1988,Oakland University
Kent Benson\bensoke01,1978,1988,C,208,235,December 27 1954,Indiana University
Ben Bentil\bentibe01,2017,2017,F,205,235,March 29 1995,Providence College
Gene Berce\bercege01,1950,1950,G-F,180,175,November 22 1926,Marquette University
Gary Bergen\bergega01,1957,1957,C,203,210,July 16 1932,University of Utah
Larry Bergh\berghla01,1970,1970,F,203,210,April 2 1945,Weber State University
Ricky Berry\berryri01,1989,1989,F,203,205,October 6 1964,San Jose State University
Walter Berry\berrywa01,1987,1989,F,203,215,May 14 1964,St. John's University
Davis Bertans\bertada01,2017,2017,F,208,210,November 12 1992,
Del Beshore\beshode01,1979,1980,G,180,165,November 29 1956,California University of Pennslyvania
Travis Best\besttr01,1996,2005,G,180,182,July 12 1972,Georgia Institute of Technology
Patrick Beverley\beverpa01,2013,2017,G,185,185,July 12 1988,University of Arkansas
Sim Bhullar\bhullsi01,2015,2015,C,226,360,December 2 1992,New Mexico State University
Wesley Bialosuknia\bialowe01,1968,1968,G,187,185,June 8 1945,University of Connecticut
Al Bianchi\biancal01,1957,1966,G,190,185,March 26 1932,Bowling Green State University
Hank Biasatti\biasaha01,1947,1947,G,180,175,January 14 1922,Long Island University
Henry Bibby\bibbyhe01,1973,1981,G,185,185,November 24 1949,University of California Los Angeles
Mike Bibby\bibbymi01,1999,2012,G,185,190,May 13 1978,University of Arizona
Ed Biedenbach\biedeed01,1969,1969,G,185,175,August 12 1945,North Carolina State University
Andris Biedrins\biedran01,2005,2014,C,210,240,April 2 1986,
Don Bielke\bielkdo01,1956,1956,C,200,240,,Valparaiso University
Bob Bigelow\bigelbo01,1976,1979,F-G,200,215,December 26 1953,University of Pennsylvania
Lionel Billingy\billili01,1975,1975,F-C,205,215,August 31 1952,Duquesne University
Chauncey Billups\billuch01,1998,2014,G,190,202,September 25 1976,University of Colorado
Dave Bing*\bingda01,1967,1978,G,190,180,November 24 1943,Syracuse University
Joe Binion\biniojo01,1987,1987,F,203,235,March 26 1961,North Carolina Agricultural and Technical State University
Jerry Bird\birdje01,1959,1959,F,198,210,February 2 1935,University of Kentucky
Larry Bird*\birdla01,1980,1992,F,205,220,December 7 1956,Indiana State University
Otis Birdsong\birdsot01,1978,1989,G,190,190,December 9 1955,University of Houston
Gale Bishop\bishoga01,1949,1949,F,190,195,June 4 1922,Washington State University
Bismack Biyombo\biyombi01,2012,2017,C-F,205,255,August 28 1992,
Nemanja Bjelica\bjeline01,2016,2017,F,208,240,May 9 1988,
Uwe Blab\blabuw01,1986,1990,C,215,252,March 26 1962,Indiana University
Charlie Black\blackch01,1949,1952,F-C,195,200,June 15 1921,University of Kansas
Norman Black\blackno01,1981,1981,G,195,185,November 12 1957,Saint Joseph's University
Tarik Black\blackta01,2015,2017,C-F,205,250,November 22 1991,University of Kansas
Tom Black\blackto01,1971,1971,C,208,220,July 9 1941,South Dakota State University
Rolando Blackman\blackro01,1982,1994,G,198,190,February 26 1959,Kansas State University
Alex Blackwell\blackal01,1993,1993,F,198,250,June 27 1970,Monmouth University
Cory Blackwell\blackco01,1985,1985,F,198,210,March 27 1963,University of Wisconsin
James Blackwell\blackja01,1995,1995,G,182,190,February 25 1968,Dartmouth College
Nate Blackwell\blackna01,1988,1988,G,193,170,February 15 1965,Temple University
DeJuan Blair\blairde01,2010,2016,F-C,200,270,April 22 1989,University of Pittsburgh
Steve Blake\blakest01,2004,2016,G,190,172,February 26 1980,University of Maryland
Will Blalock\blalowi01,2007,2007,G,182,205,September 8 1983,Iowa State University
George Blaney\blanege01,1962,1962,G,185,175,November 12 1939,College of the Holy Cross
Lance Blanks\blankla01,1991,1993,G,193,190,September 9 1966,University of Texas at Austin
Ricky Blanton\blantri01,1993,1993,F,200,215,April 21 1966,Louisiana State University
Andray Blatche\blatcan01,2006,2014,F,210,235,August 22 1986,
Mookie Blaylock\blaylmo01,1990,2002,G,182,180,March 20 1967,University of Oklahoma
Eric Bledsoe\bledser01,2011,2017,G,185,205,December 9 1989,University of Kentucky
Leon Blevins\blevile01,1951,1951,G,187,160,June 25 1926,University of Arizona
John Block\blockjo01,1967,1976,F-C,205,207,April 16 1944,University of Southern California
Mike Bloom\bloommi01,1948,1949,F-C,198,190,January 14 1915,Temple University
